[limubert] device=cuda
[limubert] corpus: 188888 windows, shape (188888, 120, 6)
Epoch 98/250 : Average Loss 0.1558. Test Loss 0.1551
Epoch 99/250 : Average Loss 0.1545. Test Loss 0.1505
Epoch 100/250 : Average Loss 0.1542. Test Loss 0.1612
Epoch 101/250 : Average Loss 0.1541. Test Loss 0.1572
Epoch 102/250 : Average Loss 0.1532. Test Loss 0.1491
Epoch 103/250 : Average Loss 0.1517. Test Loss 0.1536
Epoch 104/250 : Average Loss 0.1534. Test Loss 0.1584
Epoch 105/250 : Average Loss 0.1536. Test Loss 0.1527
Epoch 106/250 : Average Loss 0.1534. Test Loss 0.1491
Epoch 107/250 : Average Loss 0.1516. Test Loss 0.1584
Epoch 108/250 : Average Loss 0.1512. Test Loss 0.1504
Epoch 109/250 : Average Loss 0.1536. Test Loss 0.1529
Epoch 110/250 : Average Loss 0.1473. Test Loss 0.1483
Epoch 111/250 : Average Loss 0.1539. Test Loss 0.1511
Epoch 112/250 : Average Loss 0.1537. Test Loss 0.1490
Epoch 113/250 : Average Loss 0.1534. Test Loss 0.1525
Epoch 114/250 : Average Loss 0.1516. Test Loss 0.1509
Epoch 115/250 : Average Loss 0.1515. Test Loss 0.1542
Epoch 116/250 : Average Loss 0.1492. Test Loss 0.1592
Epoch 117/250 : Average Loss 0.1493. Test Loss 0.1445
Epoch 118/250 : Average Loss 0.1486. Test Loss 0.1467
Epoch 119/250 : Average Loss 0.1496. Test Loss 0.1545
Epoch 120/250 : Average Loss 0.1505. Test Loss 0.1510
Epoch 121/250 : Average Loss 0.1490. Test Loss 0.1525
Epoch 122/250 : Average Loss 0.1472. Test Loss 0.1484
Epoch 123/250 : Average Loss 0.1521. Test Loss 0.1506
Epoch 124/250 : Average Loss 0.1498. Test Loss 0.1535
Epoch 125/250 : Average Loss 0.1470. Test Loss 0.1459
Epoch 126/250 : Average Loss 0.1461. Test Loss 0.1495
Epoch 127/250 : Average Loss 0.1489. Test Loss 0.1483
Epoch 128/250 : Average Loss 0.1515. Test Loss 0.1543
Epoch 129/250 : Average Loss 0.1493. Test Loss 0.1483
Epoch 130/250 : Average Loss 0.1479. Test Loss 0.1517
Epoch 131/250 : Average Loss 0.1526. Test Loss 0.1490
Epoch 132/250 : Average Loss 0.1462. Test Loss 0.1540
Epoch 133/250 : Average Loss 0.1460. Test Loss 0.1425
Epoch 134/250 : Average Loss 0.1467. Test Loss 0.1451
Epoch 135/250 : Average Loss 0.1466. Test Loss 0.1465
Epoch 136/250 : Average Loss 0.1464. Test Loss 0.1449
Epoch 137/250 : Average Loss 0.1471. Test Loss 0.1514
Epoch 138/250 : Average Loss 0.1459. Test Loss 0.1505
Epoch 139/250 : Average Loss 0.1510. Test Loss 0.1495
Epoch 140/250 : Average Loss 0.1444. Test Loss 0.1455
Epoch 141/250 : Average Loss 0.1457. Test Loss 0.1496
Epoch 142/250 : Average Loss 0.1501. Test Loss 0.1551
Epoch 143/250 : Average Loss 0.1472. Test Loss 0.1452
Epoch 144/250 : Average Loss 0.1424. Test Loss 0.1438
Epoch 145/250 : Average Loss 0.1501. Test Loss 0.1434
Epoch 146/250 : Average Loss 0.1449. Test Loss 0.1596
Epoch 147/250 : Average Loss 0.1476. Test Loss 0.1483
